iso_code,continent,location,date,cases,deaths
ARG,South America,Argentina,20-Jan,0.0,0.0
AUS,Oceania,Australia,20-Jan,0.3,0.0
ITA,Europe,Italy,20-Jan,0.0,0.0
JPN,Asia,Japan,20-Jan,0.1,0.0
GBR,Europe,United Kingdom,20-Jan,0.0,0.0
USA,North America,United States,20-Jan,0.0,0.0
ARG,South America,Argentina,20-Feb,0.0,0.0
AUS,Oceania,Australia,20-Feb,0.6,0.0
ITA,Europe,Italy,20-Feb,18.7,0.5
JPN,Asia,Japan,20-Feb,1.8,0.0
GBR,Europe,United Kingdom,20-Feb,0.9,0.0
USA,North America,United States,20-Feb,0.1,0.0
ARG,South America,Argentina,20-Mar,23.1,0.6
AUS,Oceania,Australia,20-Mar,175.8,0.7
ITA,Europe,Italy,20-Mar,1733.8,205.4
JPN,Asia,Japan,20-Mar,15.9,0.5
GBR,Europe,United Kingdom,20-Mar,565.4,36.0
USA,North America,United States,20-Mar,576.9,16.1
ARG,South America,Argentina,20-Apr,74.0,4.2
AUS,Oceania,Australia,20-Apr,85.6,2.9
ITA,Europe,Italy,20-Apr,1651.1,257.4
JPN,Asia,Japan,20-Apr,95.4,3.3
GBR,Europe,United Kingdom,20-Apr,2044.6,355.8
USA,North America,United States,20-Apr,2670.1,182.6
ARG,South America,Argentina,20-May,272.4,7.0
AUS,Oceania,Australia,20-May,16.9,0.4
ITA,Europe,Italy,20-May,456.1,90.2
JPN,Asia,Japan,20-May,19.5,3.3
GBR,Europe,United Kingdom,20-May,1152.7,157.9
USA,North America,United States,20-May,2157.2,124.7
ARG,South America,Argentina,20-Jun,1045.5,16.8
AUS,Oceania,Australia,20-Jun,27.8,0.0
ITA,Europe,Italy,20-Jun,125.6,22.4
JPN,Asia,Japan,20-Jun,14.8,0.6
GBR,Europe,United Kingdom,20-Jun,404.3,43.3
USA,North America,United States,20-Jun,2533.2,59.1
ARG,South America,Argentina,20-Jul,2779.7,49.0
AUS,Oceania,Australia,20-Jul,363.0,3.8
ITA,Europe,Italy,20-Jul,115.3,6.2
JPN,Asia,Japan,20-Jul,140.0,0.3
GBR,Europe,United Kingdom,20-Jul,285.7,11.7
USA,North America,United States,20-Jul,5779.0,79.5
ARG,South America,Argentina,20-Aug,4965.0,112.2
AUS,Oceania,Australia,20-Aug,331.1,17.7
ITA,Europe,Italy,20-Aug,359.1,5.7
JPN,Asia,Japan,20-Aug,254.9,2.3
GBR,Europe,United Kingdom,20-Aug,479.9,4.6
USA,North America,United States,20-Aug,4382.8,88.8
